tweet,tweet_tokenized
"Me preocupa leer críticas al fondo de la propuesta, dando a entender que hoy todos los ciudadanos se sienten representados por la dirigencia.  Que no hace falta ningún proceso ni mecanismo para fortalecer a la oposición.","['preocupa', 'leer', 'críticas', 'fondo', 'propuesta', 'dando', 'entender', 'hoy', 'ciudadanos', 'sienten', 'representados', 'dirigencia', 'hace', 'falta', 'ningún', 'proceso', 'mecanismo', 'fortalecer', 'oposición']"
"El fondo de la propuesta creo que es acertado, tenemos una dirigencia desconectada de la gente y es necesario un proceso que tenga como fin unirlos.  Un proceso que reorganice y renueve a la oposición.","['fondo', 'propuesta', 'creo', 'acertado', 'dirigencia', 'desconectada', 'gente', 'necesario', 'proceso', 'fin', 'unirlos', 'proceso', 'reorganice', 'renueve', 'oposición']"
"Sobre la propuesta de legitimación que hace Ocariz:  En los comentarios que leo creo que hay que diferenciar la forma y el fondo.  En la forma, el proceso de legitimación puede mejorar. Es una propuesta que está en construcción y mientras más personas se sumen irá mejorando.","['propuesta', 'legitimación', 'hace', 'ocariz', 'comentarios', 'leo', 'creo', 'diferenciar', 'forma', 'fondo', 'forma', 'proceso', 'legitimación', 'puede', 'mejorar', 'propuesta', 'construcción', 'mientras', 'personas', 'sumen', 'irá', 'mejorando']"
"Estoy convencido de que es necesario que los liderazgos de oposición participemos en un proceso de legitimación.  Es un proceso que generará organización, reestructuración y renovación en toda nuestra dirigencia.   #MirandaPideLegitimacion","['convencido', 'necesario', 'liderazgos', 'oposición', 'participemos', 'proceso', 'legitimación', 'proceso', 'generará', 'organización', 'reestructuración', 'renovación', 'toda', 'dirigencia', 'mirandapidelegitimacion']"
"Saliendo de conversar con nuestros vecinos en Campo Alegre.  Chacao tiene muchos retos por delante, pero junto a los vecinos y construyendo la unidad, estoy seguro que trabajaremos por un mejor futuro para todos.  https://t.co/dFWtdFCIO7","['saliendo', 'conversar', 'vecinos', 'campo', 'alegre', 'chacao', 'retos', 'delante', 'junto', 'vecinos', 'construyendo', 'unidad', 'seguro', 'trabajaremos', 'mejor', 'futuro']"
La propuesta de Ocariz de legitimar los liderazgos de oposición puede motorizar y volver a darle fuerza a la unidad.  Espero que los partidos y todos los que luchamos por un cambio político nos sumemos.  #PetarePideLegitimacion,"['propuesta', 'ocariz', 'legitimar', 'liderazgos', 'oposición', 'puede', 'motorizar', 'volver', 'darle', 'fuerza', 'unidad', 'espero', 'partidos', 'luchamos', 'cambio', 'político', 'sumemos', 'petarepidelegitimacion']"
Junto a nuestras líderes de Chacao celebrando el día de las madres.  Es su trabajo día a día el que nos llena como equipo y nos permite soñar con seguir creciendo y ayudando en sus comunidades.  https://t.co/RLXNrhSMUy,"['junto', 'líderes', 'chacao', 'celebrando', 'día', 'madres', 'trabajo', 'día', 'día', 'llena', 'equipo', 'permite', 'soñar', 'seguir', 'creciendo', 'ayudando', 'comunidades']"
Hoy junto a @CarlosOcariz apoyamos a la asociación de vecinos de El Dorado con un oxímetro.  Con al plan #VecinosSolidarios esperamos poder llegar a todas las asociaciones de vecinos de Chacao.  https://t.co/oYXSC8h7iF,"['hoy', 'junto', 'carlosocariz', 'apoyamos', 'asociación', 'vecinos', 'dorado', 'oxímetro', 'plan', 'vecinossolidarios', 'esperamos', 'poder', 'llegar', 'todas', 'asociaciones', 'vecinos', 'chacao']"
"Cuando Pablo Iglesias anunció que iba a ser candidato a la asamblea de Madrid, Ayuso dijo “España me debe una, acabo de sacar a Iglesias de la vice presidencia”.  Ahora España le debe dos a Ayuso, no solo lo sacó de la vicepresidencia, si no que ahora lo saca de la política.","['pablo', 'iglesias', 'anunció', 'iba', 'ser', 'candidato', 'asamblea', 'madrid', 'ayuso', 'dijo', 'españa', 'debe', 'acabo', 'sacar', 'iglesias', 'vice', 'presidencia”', 'ahora', 'españa', 'debe', 'dos', 'ayuso', 'solo', 'sacó', 'vicepresidencia', 'si', 'ahora', 'saca', 'política']"
"Hoy ganó Madrid, España y la Libertad.  Felicitaciones a @IdiazAyuso, @pablocasado_ y a @populares.  Que este sea el primer paso para un nuevo gobierno en España.  https://t.co/sdqAik3Itw","['hoy', 'ganó', 'madrid', 'españa', 'libertad', 'felicitaciones', 'idiazayuso', 'pablocasado', 'populares', 'primer', 'paso', 'nuevo', 'gobierno', 'españa']"
Hoy hay dos tipos de personas en Twitter:   Los #MayThe4thBeWithYou   Y los #Elecciones4M,"['hoy', 'dos', 'tipos', 'personas', 'twitter', 'maythe', 'thbewithyou', 'elecciones']"
@VzlaAutonoma @gcmartinez20  https://t.co/Ijon9fOBr6,"['vzlaautonoma', 'gcmartinez']"
"@Lion_Anillo Esto no significa nada, pero si el rio suena...  https://t.co/oegkomvF4N","['lion', 'anillo', 'significa', 'si', 'rio', 'suena']"
"Por último, una lástima que parte de la campaña se haya visto marca por las amenazas que recibieron los candidatos.","['último', 'lástima', 'parte', 'campaña', 'visto', 'marca', 'amenazas', 'recibieron', 'candidatos']"
