tweet,tweet_tokenized
"Que haya denuncias falsas no quiere decir que todas lo sean. Esto no es un movimiento de difamación.  La violencia de género y su impunidad son un problema grave. Hay que cambiar las cosas, hay que tener más empatía y sobre todo, respeto. Todo comienza por el respeto.","['denuncias', 'falsas', 'quiere', 'decir', 'todas', 'movimiento', 'difamación', 'violencia', 'género', 'impunidad', 'problema', 'grave', 'cambiar', 'cosas', 'tener', 'empatía', 'respeto', 'comienza', 'respeto']"
"Vengo a hablar mal del invierno (como siempre) y es que se me bajó la vitamina D a niveles críticos   Literal tengo que tomar sol sin protector solar como tratamiento. Oh wait, aquí sigue haciendo frío y hay viento y lluvia 🙃","['vengo', 'hablar', 'mal', 'invierno', 'siempre', 'bajó', 'vitamina', 'niveles', 'críticos', 'literal', 'tomar', 'sol', 'protector', 'solar', 'tratamiento', 'oh', 'wait', 'aquí', 'sigue', 'haciendo', 'frío', 'viento', 'lluvia']"
"Antes de señalar nada ni nadie con este movimiento, pregúntate qué debes cambiar, cuestiónate.  ¿No debes cambiar nada? Perfecto. Pero de pronto sí, de pronto nos volvemos todos mejores personas ✌ #YoTeCreo","['señalar', 'nadie', 'movimiento', 'pregúntate', 'debes', 'cambiar', 'cuestiónate', '¿no', 'debes', 'cambiar', 'perfecto', 'pronto', 'pronto', 'volvemos', 'mejores', 'personas', 'yotecreo']"
"@SC_Report El que se burlen de un hombre maltratado es otra consecuencia del machismo, que concibe cosas tipo ""los hombres no lloran"". Eso también tiene que acabar. La lucha es la misma.","['sc', 'report', 'burlen', 'hombre', 'maltratado', 'consecuencia', 'machismo', 'concibe', 'cosas', 'tipo', 'hombres', 'lloran', 'acabar', 'lucha', 'misma']"
"@Colimirpo @lorebornacelly Que hablen, que denuncien. Justamente de eso se trata, de dejar de normalizar la violencia.","['colimirpo', 'lorebornacelly', 'hablen', 'denuncien', 'justamente', 'trata', 'dejar', 'normalizar', 'violencia']"
"@brewsterl Pero es parte de un problema complejo, creo yo. Que se normalizaron ese tipo de relaciones, de la ausencia de la figura del padre, o un padre que no se involucra hace que muchas jóvenes (inconscientemente) busquen esa figura en una pareja.","['brewsterl', 'parte', 'problema', 'complejo', 'creo', 'normalizaron', 'tipo', 'relaciones', 'ausencia', 'figura', 'padre', 'padre', 'involucra', 'hace', 'muchas', 'jóvenes', 'inconscientemente', 'busquen', 'figura', 'pareja']"
(Muchas palabras complicadas en un solo tuit 😂),"['muchas', 'palabras', 'complicadas', 'solo', 'tuit']"
"Gente de Puerto Ordaz: me recomiendan un otorrinolaringologo que haga naso-laringoscopias?  Estoy buscando para mi papá, gracias 💛","['gente', 'puerto', 'ordaz', 'recomiendan', 'otorrinolaringologo', 'haga', 'naso', 'laringoscopias', 'buscando', 'papá', 'gracias']"
"@gladylisflores Te quiero, gracias por siempre estar 💛","['gladylisflores', 'quiero', 'gracias', 'siempre']"
"@julepineda Gracias, querida Jules 💛","['julepineda', 'gracias', 'querida', 'jules']"
"Es importantísimo hablar de estos temas, ayudar a deconstruir, a desmontar todo el paradigma que por años ha normalizado la violencia de género. No estamos solas. Hay esperanza.","['importantísimo', 'hablar', 'temas', 'ayudar', 'deconstruir', 'desmontar', 'paradigma', 'años', 'normalizado', 'violencia', 'género', 'solas', 'esperanza']"
"Sé lo difícil que es salir de una relación de abuso y violencia. Sé el miedo que da hablar y que te juzguen, ""bien tonta que te lo calaste"" o ""quien te manda"". Mi respeto infinito a quienes se atreven a denunciar, a compatir... son fuertes, valientes.","['sé', 'difícil', 'salir', 'relación', 'abuso', 'violencia', 'sé', 'miedo', 'da', 'hablar', 'juzguen', 'bien', 'tonta', 'calaste', 'manda', 'respeto', 'infinito', 'atreven', 'denunciar', 'compatir', 'fuertes', 'valientes']"
"Esto. Muchas veces se dice ""tampoco es que me pega"", pero si le tienes miedo a tu pareja o a un allegado porque te grita, te ofende, te humilla, cuando le dices las cosas... es abuso, es violencia. Y salir de ello es muy, muy difícil   #YoSiTeCreo","['muchas', 'veces', 'dice', 'tampoco', 'pega', 'si', 'miedo', 'pareja', 'allegado', 'grita', 'ofende', 'humilla', 'dices', 'cosas', 'abuso', 'violencia', 'salir', 'ello', 'difícil', 'yositecreo']"
@Leonervis @Hidrobolivar_ O sea que Hidrobolívar ahora avisa es cuándo va a mandar a agua?  Shock,"['leonervis', 'hidrobolivar', 'hidrobolívar', 'ahora', 'avisa', 'cuándo', 'va', 'mandar', 'agua', 'shock']"
Entre los momentos icónicos de mi vida está el haberme sacado la licencia en Italia. Y manejando sincrónico.  Estoy lista para mi auto de carreras 💅,"['momentos', 'icónicos', 'vida', 'haberme', 'sacado', 'licencia', 'italia', 'manejando', 'sincrónico', 'lista', 'auto', 'carreras']"
Ps: Robinson Crusoe es tremendo libro ❤,"['ps', 'robinson', 'crusoe', 'tremendo', 'libro']"
"Ya no sé decir cuál es mi libro preferido. Cuando tenía 9 o 10 años, mi papá me dio Robinson Crusoe para leer y me dijo ""te va a gustar"". Desde ese día amé la lectura. Leer nos abre el mundo, hay que leer toda la vida #DiaMundialDelLibro","['sé', 'decir', 'cuál', 'libro', 'preferido', 'años', 'papá', 'dio', 'robinson', 'crusoe', 'leer', 'dijo', 'va', 'gustar', 'día', 'amé', 'lectura', 'leer', 'abre', 'mundo', 'leer', 'toda', 'vida', 'diamundialdellibro']"
¿Comer picante califica como masoquismo?   Un po si 😅,"['¿comer', 'picante', 'califica', 'masoquismo', 'po', 'si']"
"No que en Italia no haya cerveza buena, faltaba más, pero yo hoy quisiera brindar con una negrita de tercio 💛 bien fría 🍻","['italia', 'cerveza', 'buena', 'faltaba', 'hoy', 'quisiera', 'brindar', 'negrita', 'tercio', 'bien', 'fría']"
"@diogelis @Ismet1987 DIOSSSSS, SI SI, CAMBIO LA MIA POR LA TUYA, MANA 😂","['diogelis', 'ismet', 'diosssss', 'si', 'si', 'cambio', 'mia', 'mana']"
@Ismet1987 Relájate 😝,"['ismet', 'relájate']"
 https://t.co/QdWRHrhhpI,[]
"Y yo que, aún así, trabajo igualito 🤣","['aún', 'así', 'trabajo', 'igualito']"
@imadrianafermin @Ismet1987 Gracias!,"['imadrianafermin', 'ismet', 'gracias']"
@karollyon :( 💛,['karollyon']
Es terrible tener que acostumbrarse a vivir con ansiedad.,"['terrible', 'tener', 'acostumbrarse', 'vivir', 'ansiedad']"
@ciroska Jajaja más o menos,"['ciroska', 'jajaja', 'menos']"
"Los dialectos son tan diferentes entre sí que si un siciliano y un véneto se hablaran en sus propios dialectos, no se entenderían. Fascinante.","['dialectos', 'tan', 'diferentes', 'si', 'siciliano', 'véneto', 'hablaran', 'propios', 'dialectos', 'entenderían', 'fascinante']"
