tweet,tweet_tokenized
CAMPEEEEEEONEEEEEES NOJODAAAAAAAAAAAAAAA.,"['campeeeeeeoneeeeees', 'nojodaaaaaaaaaaaaaaa']"
Hoy gana el Barcelona.,"['hoy', 'gana', 'barcelona']"
"Today stats: 5 followers, 8 unfollowers and followed 3 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 2 followers, 8 unfollowers and followed one person via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'one', 'person', 'via']"
"Mas que mis amigos, son mis hermanos. Imposible olvidar todas estas partidas y juegos durante tantos…  https://t.co/hwTOZyczxd","['mas', 'amigos', 'hermanos', 'imposible', 'olvidar', 'todas', 'partidas', 'juegos', 'tantos…']"
16❤ #promoxvi  https://t.co/keedSqbJbN,['promoxvi']
"Today stats: 7 followers, 4 unfollowers and followed 5 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 4 followers, 8 unfollowers and followed 5 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 9 followers, 13 unfollowers and followed 6 people via  http://t.co/dfk1Ur0JcJ","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 7 followers, 6 unfollowers and followed 4 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 4 followers, 8 unfollowers and followed 2 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 11 followers, 7 unfollowers and followed 10 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: No new followers, 14 unfollowers and followed 10 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'new', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 6 followers, 6 unfollowers and followed 5 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 5 followers, 9 unfollowers and followed 5 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 3 followers, 13 unfollowers and followed 2 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 4 followers, 11 unfollowers and followed one person via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'one', 'person', 'via']"
"Today stats: 4 followers, 7 unfollowers and followed 4 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 7 followers, 10 unfollowers and followed 6 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
@GrafferPaPe17 miku no ha estado en los módulos recientes lo mas seguro es que no pase al corte de 23,"['grafferpape', 'miku', 'módulos', 'recientes', 'mas', 'seguro', 'pase', 'corte']"
Una cosa fue el Mario Rondón de los amistosos y otra cosa es el de ahorita... Si chita lo deja afuera el sabrá porque.,"['cosa', 'mario', 'rondón', 'amistosos', 'cosa', 'ahorita', 'si', 'chita', 'deja', 'afuera', 'sabrá']"
"Maldita sea JAJAJAJAJA y que ""Ya dolar today lo roto""","['maldita', 'jajajajaja', 'dolar', 'today', 'roto']"
"Today stats: No new followers, 10 unfollowers via  http://t.co/dfk1Urik4h","['today', 'stats', 'new', 'followers', 'unfollowers', 'via']"
"Today stats: 4 followers, 2 unfollowers and followed 4 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
